datetime,patients,hour,day_of_week,is_weekend,month,week_number,season,is_holiday,holiday,event_flag,shift_period,arrivals,admissions,discharges,waiting_patients,avg_wait_time_minutes,occupancy_rate,occupied_beds,available_beds,available_doctors,available_nurses,doctors_available,nurses_available,appointments_count,or_bookings_count,department_pressure_score,lag_1,lag_24,roll_mean_3,roll_mean_6,roll_mean_24,predicted_patients_next_hour
2024-01-04 15:00:00,183,15,3,0,1,1,Winter,0,0,0,Evening,36,15,21,9,46,0.839,183,35,42,96,42,96,19,3,69.52,181,187,181.67,186.17,158.75,177
2024-01-04 16:00:00,177,16,3,0,1,1,Winter,0,0,0,Evening,34,15,28,7,39,0.812,177,41,42,96,42,96,18,3,64.42,183,182,181.0,185.5,158.58,165
2024-01-04 17:00:00,165,17,3,0,1,1,Winter,0,0,0,Evening,33,14,30,8,40,0.757,165,53,42,96,42,96,4,5,59.21,177,173,180.33,183.83,158.38,167
2024-01-04 18:00:00,167,18,3,0,1,1,Winter,0,0,0,Evening,33,14,28,5,32,0.766,167,51,42,96,42,96,1,0,54.21,165,168,175.0,178.33,158.04,165
2024-01-04 19:00:00,165,19,3,0,1,1,Winter,0,0,0,Evening,29,12,27,4,29,0.757,165,53,42,96,42,96,3,3,52.56,167,179,169.67,175.33,158.0,168
2024-01-04 20:00:00,168,20,3,0,1,1,Winter,0,0,0,Evening,28,12,33,6,35,0.771,168,50,42,96,42,96,4,2,56.84,165,167,165.67,173.0,157.42,152
2024-01-04 21:00:00,152,21,3,0,1,1,Winter,0,0,0,Evening,25,11,16,5,32,0.697,152,66,42,96,42,96,0,2,49.83,168,145,166.67,170.83,157.46,148
2024-01-04 22:00:00,148,22,3,0,1,1,Winter,0,0,0,Evening,26,11,13,4,29,0.679,148,70,42,96,42,96,5,1,48.38,152,159,161.67,165.67,157.75,151
2024-01-04 23:00:00,151,23,3,0,1,1,Winter,0,0,0,Night,27,12,16,7,38,0.693,151,67,36,82,36,82,5,0,54.01,148,155,156.0,160.83,157.29,118
2024-01-05 00:00:00,118,0,4,0,1,1,Winter,0,0,0,Night,21,9,13,4,29,0.58,126,92,36,82,36,82,2,1,41.7,151,121,150.33,158.5,157.12,117
2024-01-05 01:00:00,117,1,4,0,1,1,Winter,0,0,0,Night,20,9,11,3,26,0.58,126,92,36,82,36,82,3,2,40.35,118,121,139.0,150.33,157.0,106
2024-01-05 02:00:00,106,2,4,0,1,1,Winter,0,0,0,Night,19,8,11,3,26,0.58,126,92,36,82,36,82,3,1,40.35,117,110,128.67,142.33,156.83,113
2024-01-05 03:00:00,113,3,4,0,1,1,Winter,0,0,0,Night,18,8,13,4,29,0.58,126,92,36,82,36,82,3,2,41.95,106,116,113.67,132.0,156.67,111
2024-01-05 04:00:00,111,4,4,0,1,1,Winter,0,0,0,Night,23,10,13,4,29,0.58,126,92,36,82,36,82,6,2,42.7,113,118,112.0,125.5,156.54,114
2024-01-05 05:00:00,114,5,4,0,1,1,Winter,0,0,0,Night,20,9,12,4,29,0.58,126,92,36,82,36,82,6,0,42.7,111,119,110.0,119.33,156.25,145
2024-01-05 06:00:00,145,6,4,0,1,1,Winter,0,0,0,Night,27,12,17,6,35,0.665,145,73,36,82,36,82,2,2,50.01,114,148,112.67,113.17,156.04,142
2024-01-05 07:00:00,142,7,4,0,1,1,Winter,0,0,0,Morning,27,12,13,6,35,0.651,142,76,42,96,42,96,3,4,49.43,145,144,123.33,117.67,155.92,176
2024-01-05 08:00:00,176,8,4,0,1,1,Winter,0,0,0,Morning,43,18,20,8,41,0.807,176,42,42,96,42,96,24,4,67.24,142,181,133.67,121.83,155.83,187
2024-01-05 09:00:00,187,9,4,0,1,1,Winter,0,0,0,Morning,43,18,20,10,51,0.858,187,31,42,96,42,96,21,6,72.72,176,187,154.33,133.5,155.62,189
2024-01-05 10:00:00,189,10,4,0,1,1,Winter,0,0,0,Morning,41,18,18,12,57,0.867,189,29,42,96,42,96,18,4,75.72,187,187,168.33,145.83,155.62,191
2024-01-05 11:00:00,191,11,4,0,1,1,Winter,0,0,0,Morning,40,17,21,12,58,0.876,191,27,42,96,42,96,21,2,77.02,189,198,184.0,158.83,155.71,194
2024-01-05 12:00:00,194,12,4,0,1,1,Winter,0,0,0,Morning,43,18,20,11,56,0.89,194,24,42,96,42,96,19,4,75.74,191,185,189.0,171.67,155.42,173
2024-01-05 13:00:00,173,13,4,0,1,1,Winter,0,0,0,Morning,34,15,21,5,32,0.794,173,45,42,96,42,96,20,4,60.61,194,179,191.33,179.83,155.79,163
2024-01-05 14:00:00,163,14,4,0,1,1,Winter,0,0,0,Morning,29,12,18,4,29,0.748,163,55,42,96,42,96,22,3,56.76,173,181,186.0,185.0,155.54,173
2024-01-05 15:00:00,173,15,4,0,1,1,Winter,0,0,0,Evening,33,14,19,5,32,0.794,173,45,42,96,42,96,22,3,61.11,163,183,176.67,182.83,154.79,178
2024-01-05 16:00:00,178,16,4,0,1,1,Winter,0,0,0,Evening,33,14,33,9,45,0.817,178,40,42,96,42,96,20,3,68.39,173,177,169.67,180.5,154.38,161
2024-01-05 17:00:00,161,17,4,0,1,1,Winter,0,0,0,Evening,33,14,26,6,35,0.739,161,57,42,96,42,96,3,5,54.66,178,165,171.33,178.67,154.42,166
2024-01-05 18:00:00,166,18,4,0,1,1,Winter,0,0,0,Evening,25,11,28,4,29,0.761,166,52,42,96,42,96,4,0,53.09,161,167,170.67,173.67,154.25,161
2024-01-05 19:00:00,161,19,4,0,1,1,Winter,0,0,0,Evening,28,12,28,4,29,0.739,161,57,42,96,42,96,2,1,51.21,166,165,168.33,169.0,154.21,161
2024-01-05 20:00:00,161,20,4,0,1,1,Winter,0,0,0,Evening,32,14,24,5,32,0.739,161,57,42,96,42,96,6,0,53.81,161,168,162.67,167.0,154.04,145
2024-01-05 21:00:00,145,21,4,0,1,1,Winter,0,0,0,Evening,26,11,13,5,32,0.665,145,73,42,96,42,96,2,3,48.41,161,152,162.67,166.67,153.75,140
2024-01-05 22:00:00,140,22,4,0,1,1,Winter,0,0,0,Evening,25,11,14,3,26,0.642,140,78,42,96,42,96,5,0,44.58,145,148,155.67,162.0,153.46,155
2024-01-05 23:00:00,155,23,4,0,1,1,Winter,0,0,0,Night,30,13,15,3,26,0.711,155,63,36,82,36,82,3,0,48.21,140,151,148.67,155.67,153.12,89
2024-01-06 00:00:00,89,0,5,1,1,1,Winter,0,0,0,Night,17,6,10,3,26,0.58,126,92,36,82,36,82,3,1,40.35,155,118,146.67,154.67,153.29,92
2024-01-06 01:00:00,92,1,5,1,1,1,Winter,0,0,0,Night,18,6,8,3,26,0.58,126,92,36,82,36,82,6,0,41.1,89,117,128.0,141.83,152.08,100
2024-01-06 02:00:00,100,2,5,1,1,1,Winter,0,0,0,Night,18,6,8,3,26,0.58,126,92,36,82,36,82,2,0,40.1,92,106,112.0,130.33,151.04,99
2024-01-06 03:00:00,99,3,5,1,1,1,Winter,0,0,0,Night,19,6,10,4,29,0.58,126,92,36,82,36,82,6,2,42.7,100,113,93.67,120.17,150.79,88
2024-01-06 04:00:00,88,4,5,1,1,1,Winter,0,0,0,Night,16,5,11,3,26,0.58,126,92,36,82,36,82,5,1,40.85,99,111,97.0,112.5,150.21,91
2024-01-06 05:00:00,91,5,5,1,1,1,Winter,0,0,0,Night,16,5,10,3,26,0.58,126,92,36,82,36,82,4,1,40.6,88,114,95.67,103.83,149.25,112
2024-01-06 06:00:00,112,6,5,1,1,1,Winter,0,0,0,Night,20,7,13,3,26,0.58,126,92,36,82,36,82,4,0,40.6,91,145,92.67,93.17,148.29,109
2024-01-06 07:00:00,109,7,5,1,1,1,Winter,0,0,0,Morning,20,7,9,2,24,0.58,126,92,42,96,42,96,2,1,38.5,112,142,97.0,97.0,146.92,142
2024-01-06 08:00:00,142,8,5,1,1,1,Winter,0,0,0,Morning,30,10,12,6,35,0.651,142,76,42,96,42,96,6,1,50.18,109,176,104.0,99.83,145.54,145
2024-01-06 09:00:00,145,9,5,1,1,1,Winter,0,0,0,Morning,30,10,16,4,29,0.665,145,73,42,96,42,96,5,0,47.56,142,187,121.0,106.83,144.12,156
2024-01-06 10:00:00,156,10,5,1,1,1,Winter,0,0,0,Morning,32,11,13,7,38,0.716,156,62,42,96,42,96,2,2,54.64,145,189,132.0,114.5,142.38,154
2024-01-06 11:00:00,154,11,5,1,1,1,Winter,0,0,0,Morning,38,13,12,8,40,0.706,154,64,42,96,42,96,1,1,55.44,156,191,147.67,125.83,141.0,149
2024-01-06 12:00:00,149,12,5,1,1,1,Winter,0,0,0,Morning,35,12,16,5,32,0.683,149,69,42,96,42,96,4,0,50.01,154,194,151.67,136.33,139.46,135
2024-01-06 13:00:00,135,13,5,1,1,1,Winter,0,0,0,Morning,26,9,14,3,26,0.619,135,83,42,96,42,96,6,2,43.46,149,173,153.0,142.5,137.58,139
2024-01-06 14:00:00,139,14,5,1,1,1,Winter,0,0,0,Morning,23,8,16,5,32,0.638,139,79,42,96,42,96,3,0,47.01,135,163,146.0,146.83,136.0,132
2024-01-06 15:00:00,132,15,5,1,1,1,Winter,0,0,0,Evening,21,7,14,4,29,0.606,132,86,42,96,42,96,2,1,43.23,139,173,141.0,146.33,135.0,138
2024-01-06 16:00:00,138,16,5,1,1,1,Winter,0,0,0,Evening,25,8,24,4,29,0.633,138,80,42,96,42,96,3,0,45.13,132,178,135.33,144.17,133.29,122
2024-01-06 17:00:00,122,17,5,1,1,1,Winter,0,0,0,Evening,24,8,22,5,32,0.58,126,92,42,96,42,96,4,2,43.8,138,161,136.33,141.17,131.62,121
2024-01-06 18:00:00,121,18,5,1,1,1,Winter,0,0,0,Evening,21,7,21,4,29,0.58,126,92,42,96,42,96,8,1,43.2,122,166,130.67,135.83,130.0,133
2024-01-06 19:00:00,133,19,5,1,1,1,Winter,0,0,0,Evening,22,7,22,5,32,0.61,133,85,42,96,42,96,6,1,46.11,121,161,127.0,131.17,128.12,120
2024-01-06 20:00:00,120,20,5,1,1,1,Winter,0,0,0,Evening,21,7,22,4,29,0.58,126,92,42,96,42,96,2,0,41.7,133,161,125.33,130.83,126.96,109
2024-01-06 21:00:00,109,21,5,1,1,1,Winter,0,0,0,Evening,20,7,9,3,26,0.58,126,92,42,96,42,96,3,1,40.35,120,145,124.67,127.67,125.25,113
2024-01-06 22:00:00,113,22,5,1,1,1,Winter,0,0,0,Evening,19,6,12,4,29,0.58,126,92,42,96,42,96,5,2,42.45,109,140,120.67,123.83,123.75,109
2024-01-06 23:00:00,109,23,5,1,1,1,Winter,0,0,0,Night,20,7,14,3,26,0.58,126,92,36,82,36,82,2,2,40.1,113,155,114.0,119.67,122.62,93
2024-01-07 00:00:00,93,0,6,1,1,1,Winter,0,0,0,Night,17,6,11,3,26,0.58,126,92,36,82,36,82,1,2,39.85,109,89,110.33,117.5,120.71,102
2024-01-07 01:00:00,102,1,6,1,1,1,Winter,0,0,0,Night,16,5,11,1,21,0.58,126,92,36,82,36,82,6,0,37.9,93,92,105.0,112.83,120.88,89
2024-01-07 02:00:00,89,2,6,1,1,1,Winter,0,0,0,Night,17,6,9,4,29,0.58,126,92,36,82,36,82,6,0,42.7,102,100,101.33,107.67,121.29,99
2024-01-07 03:00:00,99,3,6,1,1,1,Winter,0,0,0,Night,17,6,10,2,24,0.58,126,92,36,82,36,82,3,1,38.75,89,99,94.67,102.5,120.83,98
2024-01-07 04:00:00,98,4,6,1,1,1,Winter,0,0,0,Night,19,6,7,3,26,0.58,126,92,36,82,36,82,1,2,39.85,99,88,96.67,100.83,120.83,98
2024-01-07 05:00:00,98,5,6,1,1,1,Winter,0,0,0,Night,17,6,9,3,26,0.58,126,92,36,82,36,82,1,0,39.85,98,91,95.33,98.33,121.25,124
