datetime,patients,day_of_week,month,is_weekend,holiday,holiday,weather
2024-01-03 07:00:00,148,2,1,0,0,0,0
2024-01-03 08:00:00,190,2,1,0,0,0,0
2024-01-03 09:00:00,202,2,1,0,0,0,0
2024-01-03 10:00:00,206,2,1,0,0,0,0
2024-01-03 11:00:00,202,2,1,0,0,0,0
2024-01-03 12:00:00,198,2,1,0,0,0,0
2024-01-03 13:00:00,182,2,1,0,0,0,0
2024-01-03 14:00:00,178,2,1,0,0,0,0
2024-01-03 15:00:00,187,2,1,0,0,0,0
2024-01-03 16:00:00,182,2,1,0,0,0,0
2024-01-03 17:00:00,173,2,1,0,0,0,0
2024-01-03 18:00:00,168,2,1,0,0,0,0
2024-01-03 19:00:00,179,2,1,0,0,0,0
2024-01-03 20:00:00,167,2,1,0,0,0,0
2024-01-03 21:00:00,145,2,1,0,0,0,0
2024-01-03 22:00:00,159,2,1,0,0,0,0
2024-01-03 23:00:00,155,2,1,0,0,0,0
2024-01-04 00:00:00,121,3,1,0,0,0,0
2024-01-04 01:00:00,121,3,1,0,0,0,0
2024-01-04 02:00:00,110,3,1,0,0,0,0
2024-01-04 03:00:00,116,3,1,0,0,0,0
2024-01-04 04:00:00,118,3,1,0,0,0,0
2024-01-04 05:00:00,119,3,1,0,0,0,0
2024-01-04 06:00:00,148,3,1,0,0,0,0
2024-01-04 07:00:00,144,3,1,0,0,0,0
2024-01-04 08:00:00,181,3,1,0,0,0,0
2024-01-04 09:00:00,187,3,1,0,0,0,0
2024-01-04 10:00:00,187,3,1,0,0,0,0
2024-01-04 11:00:00,198,3,1,0,0,0,0
2024-01-04 12:00:00,185,3,1,0,0,0,0
2024-01-04 13:00:00,179,3,1,0,0,0,0
2024-01-04 14:00:00,181,3,1,0,0,0,0
2024-01-04 15:00:00,183,3,1,0,0,0,0
2024-01-04 16:00:00,177,3,1,0,0,0,0
2024-01-04 17:00:00,165,3,1,0,0,0,0
2024-01-04 18:00:00,167,3,1,0,0,0,0
2024-01-04 19:00:00,165,3,1,0,0,0,0
2024-01-04 20:00:00,168,3,1,0,0,0,0
2024-01-04 21:00:00,152,3,1,0,0,0,0
2024-01-04 22:00:00,148,3,1,0,0,0,0
2024-01-04 23:00:00,151,3,1,0,0,0,0
2024-01-05 00:00:00,118,4,1,0,0,0,0
2024-01-05 01:00:00,117,4,1,0,0,0,0
2024-01-05 02:00:00,106,4,1,0,0,0,0
2024-01-05 03:00:00,113,4,1,0,0,0,0
2024-01-05 04:00:00,111,4,1,0,0,0,0
2024-01-05 05:00:00,114,4,1,0,0,0,0
2024-01-05 06:00:00,145,4,1,0,0,0,0
2024-01-05 07:00:00,142,4,1,0,0,0,0
2024-01-05 08:00:00,176,4,1,0,0,0,0
2024-01-05 09:00:00,187,4,1,0,0,0,0
2024-01-05 10:00:00,189,4,1,0,0,0,0
2024-01-05 11:00:00,191,4,1,0,0,0,0
2024-01-05 12:00:00,194,4,1,0,0,0,0
2024-01-05 13:00:00,173,4,1,0,0,0,0
2024-01-05 14:00:00,163,4,1,0,0,0,0
2024-01-05 15:00:00,173,4,1,0,0,0,0
2024-01-05 16:00:00,178,4,1,0,0,0,0
2024-01-05 17:00:00,161,4,1,0,0,0,0
2024-01-05 18:00:00,166,4,1,0,0,0,0
2024-01-05 19:00:00,161,4,1,0,0,0,0
2024-01-05 20:00:00,161,4,1,0,0,0,0
2024-01-05 21:00:00,145,4,1,0,0,0,0
2024-01-05 22:00:00,140,4,1,0,0,0,0
2024-01-05 23:00:00,155,4,1,0,0,0,0
2024-01-06 00:00:00,89,5,1,1,0,0,0
2024-01-06 01:00:00,92,5,1,1,0,0,0
2024-01-06 02:00:00,100,5,1,1,0,0,0
2024-01-06 03:00:00,99,5,1,1,0,0,0
2024-01-06 04:00:00,88,5,1,1,0,0,0
2024-01-06 05:00:00,91,5,1,1,0,0,0
2024-01-06 06:00:00,112,5,1,1,0,0,0
2024-01-06 07:00:00,109,5,1,1,0,0,0
2024-01-06 08:00:00,142,5,1,1,0,0,0
2024-01-06 09:00:00,145,5,1,1,0,0,0
2024-01-06 10:00:00,156,5,1,1,0,0,0
2024-01-06 11:00:00,154,5,1,1,0,0,0
2024-01-06 12:00:00,149,5,1,1,0,0,0
2024-01-06 13:00:00,135,5,1,1,0,0,0
2024-01-06 14:00:00,139,5,1,1,0,0,0
2024-01-06 15:00:00,132,5,1,1,0,0,0
2024-01-06 16:00:00,138,5,1,1,0,0,0
2024-01-06 17:00:00,122,5,1,1,0,0,0
2024-01-06 18:00:00,121,5,1,1,0,0,0
2024-01-06 19:00:00,133,5,1,1,0,0,0
2024-01-06 20:00:00,120,5,1,1,0,0,0
2024-01-06 21:00:00,109,5,1,1,0,0,0
2024-01-06 22:00:00,113,5,1,1,0,0,0
2024-01-06 23:00:00,109,5,1,1,0,0,0
2024-01-07 00:00:00,93,6,1,1,0,0,0
2024-01-07 01:00:00,102,6,1,1,0,0,0
2024-01-07 02:00:00,89,6,1,1,0,0,0
2024-01-07 03:00:00,99,6,1,1,0,0,0
2024-01-07 04:00:00,98,6,1,1,0,0,0
2024-01-07 05:00:00,98,6,1,1,0,0,0
2024-01-07 06:00:00,124,6,1,1,0,0,0
2024-01-07 07:00:00,131,6,1,1,0,0,0
2024-01-07 08:00:00,154,6,1,1,0,0,0
2024-01-07 09:00:00,158,6,1,1,0,0,0
2024-01-07 10:00:00,157,6,1,1,0,0,0
2024-01-07 11:00:00,162,6,1,1,0,0,0
2024-01-07 12:00:00,160,6,1,1,0,0,0
2024-01-07 13:00:00,151,6,1,1,0,0,0
2024-01-07 14:00:00,143,6,1,1,0,0,0
2024-01-07 15:00:00,146,6,1,1,0,0,0
2024-01-07 16:00:00,141,6,1,1,0,0,0
2024-01-07 17:00:00,144,6,1,1,0,0,0
2024-01-07 18:00:00,132,6,1,1,0,0,0
2024-01-07 19:00:00,136,6,1,1,0,0,0
2024-01-07 20:00:00,133,6,1,1,0,0,0
2024-01-07 21:00:00,119,6,1,1,0,0,0
2024-01-07 22:00:00,124,6,1,1,0,0,0
2024-01-07 23:00:00,120,6,1,1,0,0,0
2024-01-08 00:00:00,130,0,1,0,0,0,0
2024-01-08 01:00:00,133,0,1,0,0,0,0
2024-01-08 02:00:00,128,0,1,0,0,0,0
2024-01-08 03:00:00,129,0,1,0,0,0,0
2024-01-08 04:00:00,118,0,1,0,0,0,0
2024-01-08 05:00:00,122,0,1,0,0,0,0
2024-01-08 06:00:00,157,0,1,0,0,0,0
2024-01-08 07:00:00,160,0,1,0,0,0,0
2024-01-08 08:00:00,192,0,1,0,0,0,0
2024-01-08 09:00:00,199,0,1,0,0,0,0
2024-01-08 10:00:00,197,0,1,0,0,0,0
2024-01-08 11:00:00,200,0,1,0,0,0,0
2024-01-08 12:00:00,206,0,1,0,0,0,0
2024-01-08 13:00:00,185,0,1,0,0,0,0
2024-01-08 14:00:00,183,0,1,0,0,0,0
2024-01-08 15:00:00,181,0,1,0,0,0,0
2024-01-08 16:00:00,188,0,1,0,0,0,0
2024-01-08 17:00:00,163,0,1,0,0,0,0
2024-01-08 18:00:00,172,0,1,0,0,0,0
2024-01-08 19:00:00,170,0,1,0,0,0,0
2024-01-08 20:00:00,177,0,1,0,0,0,0
2024-01-08 21:00:00,164,0,1,0,0,0,0
2024-01-08 22:00:00,159,0,1,0,0,0,0
2024-01-08 23:00:00,152,0,1,0,0,0,0
2024-01-09 00:00:00,131,1,1,0,0,0,0
2024-01-09 01:00:00,132,1,1,0,0,0,0
2024-01-09 02:00:00,131,1,1,0,0,0,0
2024-01-09 03:00:00,124,1,1,0,0,0,0
2024-01-09 04:00:00,130,1,1,0,0,0,0
2024-01-09 05:00:00,128,1,1,0,0,0,0
2024-01-09 06:00:00,163,1,1,0,0,0,0
2024-01-09 07:00:00,156,1,1,0,0,0,0
2024-01-09 08:00:00,196,1,1,0,0,0,0
2024-01-09 09:00:00,207,1,1,0,0,0,0
2024-01-09 10:00:00,206,1,1,0,0,0,0
2024-01-09 11:00:00,207,1,1,0,0,0,0
2024-01-09 12:00:00,199,1,1,0,0,0,0
2024-01-09 13:00:00,184,1,1,0,0,0,0
2024-01-09 14:00:00,199,1,1,0,0,0,0
2024-01-09 15:00:00,182,1,1,0,0,0,0
2024-01-09 16:00:00,185,1,1,0,0,0,0
2024-01-09 17:00:00,169,1,1,0,0,0,0
2024-01-09 18:00:00,171,1,1,0,0,0,0
2024-01-09 19:00:00,175,1,1,0,0,0,0
2024-01-09 20:00:00,177,1,1,0,0,0,0
2024-01-09 21:00:00,158,1,1,0,0,0,0
2024-01-09 22:00:00,160,1,1,0,0,0,0
2024-01-09 23:00:00,156,1,1,0,0,0,0
2024-01-10 00:00:00,128,2,1,0,0,0,0
2024-01-10 01:00:00,125,2,1,0,0,0,0
2024-01-10 02:00:00,127,2,1,0,0,0,0
2024-01-10 03:00:00,126,2,1,0,0,0,0
2024-01-10 04:00:00,126,2,1,0,0,0,0
2024-01-10 05:00:00,130,2,1,0,0,0,0
2024-01-10 06:00:00,151,2,1,0,0,0,0
2024-01-10 07:00:00,152,2,1,0,0,0,0
2024-01-10 08:00:00,192,2,1,0,0,0,0
2024-01-10 09:00:00,201,2,1,0,0,0,0
2024-01-10 10:00:00,207,2,1,0,0,0,0
2024-01-10 11:00:00,197,2,1,0,0,0,0
2024-01-10 12:00:00,195,2,1,0,0,0,0
2024-01-10 13:00:00,178,2,1,0,0,0,0
2024-01-10 14:00:00,187,2,1,0,0,0,0
2024-01-10 15:00:00,185,2,1,0,0,0,0
2024-01-10 16:00:00,184,2,1,0,0,0,0
2024-01-10 17:00:00,173,2,1,0,0,0,0
2024-01-10 18:00:00,164,2,1,0,0,0,0
2024-01-10 19:00:00,173,2,1,0,0,0,0
2024-01-10 20:00:00,169,2,1,0,0,0,0
2024-01-10 21:00:00,155,2,1,0,0,0,0
2024-01-10 22:00:00,158,2,1,0,0,0,0
2024-01-10 23:00:00,153,2,1,0,0,0,0
2024-01-11 00:00:00,119,3,1,0,0,0,0
2024-01-11 01:00:00,117,3,1,0,0,0,0
2024-01-11 02:00:00,114,3,1,0,0,0,0
2024-01-11 03:00:00,122,3,1,0,0,0,0
2024-01-11 04:00:00,114,3,1,0,0,0,0
2024-01-11 05:00:00,124,3,1,0,0,0,0
2024-01-11 06:00:00,157,3,1,0,0,0,0
2024-01-11 07:00:00,143,3,1,0,0,0,0
2024-01-11 08:00:00,184,3,1,0,0,0,0
2024-01-11 09:00:00,195,3,1,0,0,0,0
2024-01-11 10:00:00,188,3,1,0,0,0,0
2024-01-11 11:00:00,189,3,1,0,0,0,0
2024-01-11 12:00:00,199,3,1,0,0,0,0
2024-01-11 13:00:00,179,3,1,0,0,0,0
2024-01-11 14:00:00,180,3,1,0,0,0,0
2024-01-11 15:00:00,169,3,1,0,0,0,0
2024-01-11 16:00:00,178,3,1,0,0,0,0
2024-01-11 17:00:00,157,3,1,0,0,0,0
2024-01-11 18:00:00,161,3,1,0,0,0,0
2024-01-11 19:00:00,163,3,1,0,0,0,0
2024-01-11 20:00:00,170,3,1,0,0,0,0
2024-01-11 21:00:00,143,3,1,0,0,0,0
2024-01-11 22:00:00,141,3,1,0,0,0,0
2024-01-11 23:00:00,153,3,1,0,0,0,0
2024-01-12 00:00:00,119,4,1,0,0,0,0
2024-01-12 01:00:00,125,4,1,0,0,0,0
2024-01-12 02:00:00,117,4,1,0,0,0,0
2024-01-12 03:00:00,111,4,1,0,0,0,0
2024-01-12 04:00:00,110,4,1,0,0,0,0
2024-01-12 05:00:00,115,4,1,0,0,0,0
2024-01-12 06:00:00,151,4,1,0,0,0,0
2024-01-12 07:00:00,144,4,1,0,0,0,0
2024-01-12 08:00:00,180,4,1,0,0,0,0
2024-01-12 09:00:00,190,4,1,0,0,0,0
2024-01-12 10:00:00,195,4,1,0,0,0,0
2024-01-12 11:00:00,193,4,1,0,0,0,0
2024-01-12 12:00:00,190,4,1,0,0,0,0
2024-01-12 13:00:00,168,4,1,0,0,0,0
2024-01-12 14:00:00,178,4,1,0,0,0,0
2024-01-12 15:00:00,171,4,1,0,0,0,0
2024-01-12 16:00:00,171,4,1,0,0,0,0
2024-01-12 17:00:00,160,4,1,0,0,0,0
2024-01-12 18:00:00,159,4,1,0,0,0,0
2024-01-12 19:00:00,161,4,1,0,0,0,0
2024-01-12 20:00:00,168,4,1,0,0,0,0
2024-01-12 21:00:00,143,4,1,0,0,0,0
2024-01-12 22:00:00,145,4,1,0,0,0,0
2024-01-12 23:00:00,148,4,1,0,0,0,0
2024-01-13 00:00:00,96,5,1,1,0,0,0
2024-01-13 01:00:00,92,5,1,1,0,0,0
2024-01-13 02:00:00,91,5,1,1,0,0,0
2024-01-13 03:00:00,92,5,1,1,0,0,0
2024-01-13 04:00:00,88,5,1,1,0,0,0
2024-01-13 05:00:00,95,5,1,1,0,0,0
2024-01-13 06:00:00,123,5,1,1,0,0,0
2024-01-13 07:00:00,115,5,1,1,0,0,0
2024-01-13 08:00:00,147,5,1,1,0,0,0
2024-01-13 09:00:00,153,5,1,1,0,0,0
2024-01-13 10:00:00,151,5,1,1,0,0,0
2024-01-13 11:00:00,148,5,1,1,0,0,0
2024-01-13 12:00:00,158,5,1,1,0,0,0
2024-01-13 13:00:00,131,5,1,1,0,0,0
2024-01-13 14:00:00,136,5,1,1,0,0,0
2024-01-13 15:00:00,133,5,1,1,0,0,0
2024-01-13 16:00:00,143,5,1,1,0,0,0
2024-01-13 17:00:00,123,5,1,1,0,0,0
2024-01-13 18:00:00,131,5,1,1,0,0,0
2024-01-13 19:00:00,125,5,1,1,0,0,0
2024-01-13 20:00:00,128,5,1,1,0,0,0
2024-01-13 21:00:00,125,5,1,1,0,0,0
2024-01-13 22:00:00,118,5,1,1,0,0,0
2024-01-13 23:00:00,115,5,1,1,0,0,0
2024-01-14 00:00:00,98,6,1,1,0,0,0
2024-01-14 01:00:00,99,6,1,1,0,0,0
2024-01-14 02:00:00,101,6,1,1,0,0,0
2024-01-14 03:00:00,96,6,1,1,0,0,0
2024-01-14 04:00:00,102,6,1,1,0,0,0
2024-01-14 05:00:00,94,6,1,1,0,0,0
2024-01-14 06:00:00,119,6,1,1,0,0,0
2024-01-14 07:00:00,117,6,1,1,0,0,0
2024-01-14 08:00:00,147,6,1,1,0,0,0
2024-01-14 09:00:00,156,6,1,1,0,0,0
2024-01-14 10:00:00,157,6,1,1,0,0,0
2024-01-14 11:00:00,154,6,1,1,0,0,0
2024-01-14 12:00:00,157,6,1,1,0,0,0
2024-01-14 13:00:00,144,6,1,1,0,0,0
2024-01-14 14:00:00,145,6,1,1,0,0,0
2024-01-14 15:00:00,139,6,1,1,0,0,0
2024-01-14 16:00:00,157,6,1,1,0,0,0
2024-01-14 17:00:00,127,6,1,1,0,0,0
2024-01-14 18:00:00,139,6,1,1,0,0,0
2024-01-14 19:00:00,127,6,1,1,0,0,0
2024-01-14 20:00:00,127,6,1,1,0,0,0
2024-01-14 21:00:00,123,6,1,1,0,0,0
2024-01-14 22:00:00,119,6,1,1,0,0,0
2024-01-14 23:00:00,119,6,1,1,0,0,0
2024-01-15 00:00:00,127,0,1,0,0,0,0
2024-01-15 01:00:00,127,0,1,0,0,0,0
2024-01-15 02:00:00,123,0,1,0,0,0,0
2024-01-15 03:00:00,124,0,1,0,0,0,0
2024-01-15 04:00:00,127,0,1,0,0,0,0
2024-01-15 05:00:00,121,0,1,0,0,0,0
2024-01-15 06:00:00,151,0,1,0,0,0,0
2024-01-15 07:00:00,155,0,1,0,0,0,0
2024-01-15 08:00:00,186,0,1,0,0,0,0
2024-01-15 09:00:00,205,0,1,0,0,0,0
2024-01-15 10:00:00,205,0,1,0,0,0,0
2024-01-15 11:00:00,203,0,1,0,0,0,0
2024-01-15 12:00:00,200,0,1,0,0,0,0
2024-01-15 13:00:00,184,0,1,0,0,0,0
2024-01-15 14:00:00,182,0,1,0,0,0,0
2024-01-15 15:00:00,189,0,1,0,0,0,0
2024-01-15 16:00:00,181,0,1,0,0,0,0
2024-01-15 17:00:00,174,0,1,0,0,0,0
2024-01-15 18:00:00,172,0,1,0,0,0,0
2024-01-15 19:00:00,170,0,1,0,0,0,0
2024-01-15 20:00:00,175,0,1,0,0,0,0
2024-01-15 21:00:00,153,0,1,0,0,0,0
2024-01-15 22:00:00,152,0,1,0,0,0,0
2024-01-15 23:00:00,154,0,1,0,0,0,0
2024-01-16 00:00:00,127,1,1,0,0,0,0
2024-01-16 01:00:00,130,1,1,0,0,0,0
2024-01-16 02:00:00,138,1,1,0,0,0,0
2024-01-16 03:00:00,128,1,1,0,0,0,0
2024-01-16 04:00:00,132,1,1,0,0,0,0
2024-01-16 05:00:00,129,1,1,0,0,0,0
2024-01-16 06:00:00,164,1,1,0,0,0,0
2024-01-16 07:00:00,160,1,1,0,0,0,0
2024-01-16 08:00:00,200,1,1,0,0,0,0
2024-01-16 09:00:00,206,1,1,0,0,0,0
2024-01-16 10:00:00,211,1,1,0,0,0,0
2024-01-16 11:00:00,203,1,1,0,0,0,0
2024-01-16 12:00:00,207,1,1,0,0,0,0
2024-01-16 13:00:00,185,1,1,0,0,0,0
2024-01-16 14:00:00,186,1,1,0,0,0,0
2024-01-16 15:00:00,188,1,1,0,0,0,0
2024-01-16 16:00:00,183,1,1,0,0,0,0
2024-01-16 17:00:00,177,1,1,0,0,0,0
2024-01-16 18:00:00,178,1,1,0,0,0,0
2024-01-16 19:00:00,171,1,1,0,0,0,0
2024-01-16 20:00:00,170,1,1,0,0,0,0
2024-01-16 21:00:00,160,1,1,0,0,0,0
2024-01-16 22:00:00,161,1,1,0,0,0,0
2024-01-16 23:00:00,155,1,1,0,0,0,0
2024-01-17 00:00:00,121,2,1,0,0,0,0
2024-01-17 01:00:00,126,2,1,0,0,0,0
2024-01-17 02:00:00,126,2,1,0,0,0,0
2024-01-17 03:00:00,120,2,1,0,0,0,0
2024-01-17 04:00:00,133,2,1,0,0,0,0
2024-01-17 05:00:00,125,2,1,0,0,0,0
2024-01-17 06:00:00,158,2,1,0,0,0,0
2024-01-17 07:00:00,156,2,1,0,0,0,0
2024-01-17 08:00:00,194,2,1,0,0,0,0
2024-01-17 09:00:00,199,2,1,0,0,0,0
2024-01-17 10:00:00,195,2,1,0,0,0,0
2024-01-17 11:00:00,199,2,1,0,0,0,0
2024-01-17 12:00:00,202,2,1,0,0,0,0
2024-01-17 13:00:00,185,2,1,0,0,0,0
2024-01-17 14:00:00,178,2,1,0,0,0,0
2024-01-17 15:00:00,179,2,1,0,0,0,0
2024-01-17 16:00:00,183,2,1,0,0,0,0
2024-01-17 17:00:00,173,2,1,0,0,0,0
2024-01-17 18:00:00,164,2,1,0,0,0,0
2024-01-17 19:00:00,165,2,1,0,0,0,0
2024-01-17 20:00:00,171,2,1,0,0,0,0
2024-01-17 21:00:00,150,2,1,0,0,0,0
2024-01-17 22:00:00,156,2,1,0,0,0,0
2024-01-17 23:00:00,155,2,1,0,0,0,0
2024-01-18 00:00:00,122,3,1,0,0,0,0
2024-01-18 01:00:00,115,3,1,0,0,0,0
2024-01-18 02:00:00,121,3,1,0,0,0,0
2024-01-18 03:00:00,119,3,1,0,0,0,0
2024-01-18 04:00:00,120,3,1,0,0,0,0
2024-01-18 05:00:00,120,3,1,0,0,0,0
2024-01-18 06:00:00,149,3,1,0,0,0,0
2024-01-18 07:00:00,152,3,1,0,0,0,0
2024-01-18 08:00:00,186,3,1,0,0,0,0
2024-01-18 09:00:00,201,3,1,0,0,0,0
2024-01-18 10:00:00,194,3,1,0,0,0,0
2024-01-18 11:00:00,197,3,1,0,0,0,0
2024-01-18 12:00:00,193,3,1,0,0,0,0
2024-01-18 13:00:00,178,3,1,0,0,0,0
2024-01-18 14:00:00,182,3,1,0,0,0,0
2024-01-18 15:00:00,176,3,1,0,0,0,0
2024-01-18 16:00:00,174,3,1,0,0,0,0
2024-01-18 17:00:00,163,3,1,0,0,0,0
2024-01-18 18:00:00,164,3,1,0,0,0,0
2024-01-18 19:00:00,169,3,1,0,0,0,0
2024-01-18 20:00:00,165,3,1,0,0,0,0
2024-01-18 21:00:00,151,3,1,0,0,0,0
2024-01-18 22:00:00,147,3,1,0,0,0,0
2024-01-18 23:00:00,143,3,1,0,0,0,0
2024-01-19 00:00:00,112,4,1,0,0,0,0
2024-01-19 01:00:00,121,4,1,0,0,0,0
2024-01-19 02:00:00,113,4,1,0,0,0,0
2024-01-19 03:00:00,115,4,1,0,0,0,0
2024-01-19 04:00:00,120,4,1,0,0,0,0
2024-01-19 05:00:00,110,4,1,0,0,0,0
2024-01-19 06:00:00,149,4,1,0,0,0,0
2024-01-19 07:00:00,145,4,1,0,0,0,0
2024-01-19 08:00:00,180,4,1,0,0,0,0
2024-01-19 09:00:00,191,4,1,0,0,0,0
2024-01-19 10:00:00,191,4,1,0,0,0,0
2024-01-19 11:00:00,190,4,1,0,0,0,0
2024-01-19 12:00:00,195,4,1,0,0,0,0
2024-01-19 13:00:00,167,4,1,0,0,0,0
2024-01-19 14:00:00,176,4,1,0,0,0,0
2024-01-19 15:00:00,173,4,1,0,0,0,0
2024-01-19 16:00:00,177,4,1,0,0,0,0
2024-01-19 17:00:00,160,4,1,0,0,0,0
2024-01-19 18:00:00,161,4,1,0,0,0,0
2024-01-19 19:00:00,159,4,1,0,0,0,0
2024-01-19 20:00:00,154,4,1,0,0,0,0
2024-01-19 21:00:00,140,4,1,0,0,0,0
2024-01-19 22:00:00,146,4,1,0,0,0,0
2024-01-19 23:00:00,146,4,1,0,0,0,0
2024-01-20 00:00:00,91,5,1,1,0,0,0
2024-01-20 01:00:00,90,5,1,1,0,0,0
2024-01-20 02:00:00,90,5,1,1,0,0,0
2024-01-20 03:00:00,92,5,1,1,0,0,0
2024-01-20 04:00:00,92,5,1,1,0,0,0
2024-01-20 05:00:00,92,5,1,1,0,0,0
2024-01-20 06:00:00,120,5,1,1,0,0,0
2024-01-20 07:00:00,117,5,1,1,0,0,0
2024-01-20 08:00:00,147,5,1,1,0,0,0
2024-01-20 09:00:00,152,5,1,1,0,0,0
2024-01-20 10:00:00,152,5,1,1,0,0,0
2024-01-20 11:00:00,157,5,1,1,0,0,0
2024-01-20 12:00:00,150,5,1,1,0,0,0
2024-01-20 13:00:00,131,5,1,1,0,0,0
2024-01-20 14:00:00,137,5,1,1,0,0,0
2024-01-20 15:00:00,137,5,1,1,0,0,0
2024-01-20 16:00:00,143,5,1,1,0,0,0
2024-01-20 17:00:00,129,5,1,1,0,0,0
2024-01-20 18:00:00,127,5,1,1,0,0,0
2024-01-20 19:00:00,126,5,1,1,0,0,0
2024-01-20 20:00:00,129,5,1,1,0,0,0
2024-01-20 21:00:00,112,5,1,1,0,0,0
2024-01-20 22:00:00,119,5,1,1,0,0,0
2024-01-20 23:00:00,120,5,1,1,0,0,0
2024-01-21 00:00:00,98,6,1,1,0,0,0
2024-01-21 01:00:00,95,6,1,1,0,0,0
2024-01-21 02:00:00,97,6,1,1,0,0,0
2024-01-21 03:00:00,93,6,1,1,0,0,0
2024-01-21 04:00:00,102,6,1,1,0,0,0
2024-01-21 05:00:00,97,6,1,1,0,0,0
2024-01-21 06:00:00,124,6,1,1,0,0,0
2024-01-21 07:00:00,122,6,1,1,0,0,0
2024-01-21 08:00:00,150,6,1,1,0,0,0
2024-01-21 09:00:00,155,6,1,1,0,0,0
2024-01-21 10:00:00,157,6,1,1,0,0,0
2024-01-21 11:00:00,157,6,1,1,0,0,0
2024-01-21 12:00:00,164,6,1,1,0,0,0
2024-01-21 13:00:00,140,6,1,1,0,0,0
2024-01-21 14:00:00,144,6,1,1,0,0,0
2024-01-21 15:00:00,148,6,1,1,0,0,0
2024-01-21 16:00:00,144,6,1,1,0,0,0
2024-01-21 17:00:00,138,6,1,1,0,0,0
2024-01-21 18:00:00,138,6,1,1,0,0,0
2024-01-21 19:00:00,137,6,1,1,0,0,0
2024-01-21 20:00:00,129,6,1,1,0,0,0
2024-01-21 21:00:00,126,6,1,1,0,0,0
2024-01-21 22:00:00,127,6,1,1,0,0,0
2024-01-21 23:00:00,128,6,1,1,0,0,0
2024-01-22 00:00:00,128,0,1,0,0,0,0
2024-01-22 01:00:00,123,0,1,0,0,0,0
2024-01-22 02:00:00,131,0,1,0,0,0,0
2024-01-22 03:00:00,134,0,1,0,0,0,0
2024-01-22 04:00:00,131,0,1,0,0,0,0
2024-01-22 05:00:00,128,0,1,0,0,0,0
2024-01-22 06:00:00,152,0,1,0,0,0,0
2024-01-22 07:00:00,152,0,1,0,0,0,0
2024-01-22 08:00:00,189,0,1,0,0,0,0
2024-01-22 09:00:00,202,0,1,0,0,0,0
2024-01-22 10:00:00,195,0,1,0,0,0,0
2024-01-22 11:00:00,200,0,1,0,0,0,0
