datetime,patients,day_of_week,day_of_week_name,month,is_weekend,holiday,holiday_name,weather,weather_type,weather_severity,capacity,is_capped,is_emergency,emergency_spike,is_outbreak,outbreak_intensity,is_staff_shortage,staff_shortage_impact,scenario_primary,scenario_code,y_patients_t_plus_1,y_patients_t_plus_24
1/2/2025 21:00,100,3,Thursday,1,0,0,random_or_none,2,cold,0.442,260,0,0,0,0,0,0,0,normal,0,97,114
1/2/2025 22:00,97,3,Thursday,1,0,0,random_or_none,2,cold,0.664,260,0,0,0,0,0,0,0,normal,0,88,101
1/2/2025 23:00,88,3,Thursday,1,0,0,random_or_none,2,cold,0.482,260,0,0,0,0,0,0,0,normal,0,80,91
1/3/2025 0:00,80,4,Friday,1,0,0,random_or_none,1,rainy,0.625,260,0,0,0,0,0,0,0,normal,0,77,70
1/3/2025 1:00,77,4,Friday,1,0,0,random_or_none,2,cold,0.481,260,0,0,0,0,0,0,0,normal,0,75,63
1/3/2025 2:00,75,4,Friday,1,0,0,random_or_none,5,windy,0.863,260,0,0,0,0,0,0,0,extreme_weather,2,78,58
1/3/2025 3:00,78,4,Friday,1,0,0,random_or_none,2,cold,0.756,260,0,0,0,0,0,0,0,extreme_weather,2,75,57
1/3/2025 4:00,75,4,Friday,1,0,0,random_or_none,3,hot,0.816,260,0,0,0,0,0,0,0,extreme_weather,2,76,57
1/3/2025 5:00,76,4,Friday,1,0,0,random_or_none,5,windy,0.245,260,0,0,0,0,0,0,0,normal,0,78,60
1/3/2025 6:00,78,4,Friday,1,0,0,random_or_none,2,cold,0.561,260,0,0,0,0,0,0,0,normal,0,80,133
1/3/2025 7:00,80,4,Friday,1,0,0,random_or_none,2,cold,0.485,260,0,0,0,0,0,0,0,normal,0,88,102
1/3/2025 8:00,88,4,Friday,1,0,0,random_or_none,4,dusty,0.389,260,0,0,0,0,0,0,0,normal,0,98,178
1/3/2025 9:00,98,4,Friday,1,0,0,random_or_none,1,rainy,0.765,260,0,0,0,0,0,0,0,extreme_weather,2,100,130
1/3/2025 10:00,100,4,Friday,1,0,0,random_or_none,0,sunny,0.332,260,0,0,0,0,0,0,0,normal,0,112,109
1/3/2025 11:00,112,4,Friday,1,0,0,random_or_none,2,cold,0.74,260,0,0,0,0,0,0,0,normal,0,113,99
1/3/2025 12:00,113,4,Friday,1,0,0,random_or_none,2,cold,0.926,260,0,0,0,0,0,0,0,extreme_weather,2,121,103
1/3/2025 13:00,121,4,Friday,1,0,0,random_or_none,2,cold,0.935,260,0,0,0,0,0,0,0,extreme_weather,2,121,110
1/3/2025 14:00,121,4,Friday,1,0,0,random_or_none,1,rainy,0.424,260,0,0,0,0,0,0,0,normal,0,170,111
1/3/2025 15:00,170,4,Friday,1,0,0,random_or_none,2,cold,0.788,260,0,1,103.92,0,0,0,0,emergency_spike,5,151,109
1/3/2025 16:00,151,4,Friday,1,0,0,random_or_none,2,cold,0.855,260,0,0,0,0,0,0,0,extreme_weather,2,149,110
1/3/2025 17:00,149,4,Friday,1,0,0,random_or_none,1,rainy,0.873,260,0,0,0,0,0,0,0,extreme_weather,2,142,117
1/3/2025 18:00,142,4,Friday,1,0,0,random_or_none,2,cold,0.352,260,0,0,0,0,0,0,0,normal,0,137,110
1/3/2025 19:00,137,4,Friday,1,0,0,random_or_none,1,rainy,0.998,260,0,0,0,0,0,0,0,extreme_weather,2,121,106
1/3/2025 20:00,121,4,Friday,1,0,0,random_or_none,1,rainy,0.504,260,0,0,0,0,0,0,0,normal,0,114,101
1/3/2025 21:00,114,4,Friday,1,0,0,random_or_none,1,rainy,1,260,0,0,0,0,0,0,0,extreme_weather,2,101,93
1/3/2025 22:00,101,4,Friday,1,0,0,random_or_none,2,cold,0.473,260,0,0,0,0,0,0,0,normal,0,91,82
1/3/2025 23:00,91,4,Friday,1,0,0,random_or_none,5,windy,0.766,260,0,0,0,0,0,0,0,extreme_weather,2,70,70
1/4/2025 0:00,70,5,Saturday,1,1,0,random_or_none,5,windy,0.281,260,0,0,0,0,0,0,0,normal,0,63,60
1/4/2025 1:00,63,5,Saturday,1,1,0,random_or_none,3,hot,0.499,260,0,0,0,0,0,0,0,normal,0,58,57
1/4/2025 2:00,58,5,Saturday,1,1,0,random_or_none,4,dusty,0.553,260,0,0,0,0,0,0,0,normal,0,57,55
1/4/2025 3:00,57,5,Saturday,1,1,0,random_or_none,2,cold,0.583,260,0,0,0,0,0,0,0,normal,0,57,50
1/4/2025 4:00,57,5,Saturday,1,1,0,random_or_none,2,cold,0.776,260,0,0,0,0,0,0,0,extreme_weather,2,60,55
1/4/2025 5:00,60,5,Saturday,1,1,0,random_or_none,5,windy,0.799,260,0,0,0,0,0,0,0,extreme_weather,2,133,56
1/4/2025 6:00,133,5,Saturday,1,1,0,random_or_none,2,cold,0.921,260,0,1,159.76,0,0,0,0,emergency_spike,5,102,58
1/4/2025 7:00,102,5,Saturday,1,1,0,random_or_none,1,rainy,0.281,260,0,0,0,0,0,0,0,normal,0,178,62
1/4/2025 8:00,178,5,Saturday,1,1,0,random_or_none,2,cold,0.933,260,0,1,183.85,0,0,0,0,emergency_spike,5,130,66
1/4/2025 9:00,130,5,Saturday,1,1,0,random_or_none,2,cold,0.271,260,0,0,0,0,0,0,0,normal,0,109,72
1/4/2025 10:00,109,5,Saturday,1,1,0,random_or_none,0,sunny,0.04,260,0,0,0,0,0,0,0,normal,0,99,78
1/4/2025 11:00,99,5,Saturday,1,1,0,random_or_none,0,sunny,0.102,260,0,0,0,0,0,0,0,normal,0,103,95
1/4/2025 12:00,103,5,Saturday,1,1,0,random_or_none,2,cold,0.633,260,0,0,0,0,0,0,0,normal,0,110,97
1/4/2025 13:00,110,5,Saturday,1,1,0,random_or_none,1,rainy,0.818,260,0,0,0,0,0,0,0,extreme_weather,2,111,103
1/4/2025 14:00,111,5,Saturday,1,1,0,random_or_none,5,windy,0.791,260,0,0,0,0,0,0,0,extreme_weather,2,109,111
1/4/2025 15:00,109,5,Saturday,1,1,0,random_or_none,2,cold,0.87,260,0,0,0,0,0,0,0,extreme_weather,2,110,109
1/4/2025 16:00,110,5,Saturday,1,1,0,random_or_none,1,rainy,0.959,260,0,0,0,0,0,0,0,extreme_weather,2,117,108
1/4/2025 17:00,117,5,Saturday,1,1,0,random_or_none,2,cold,1,260,0,0,0,0,0,0,0,extreme_weather,2,110,111
1/4/2025 18:00,110,5,Saturday,1,1,0,random_or_none,2,cold,0.616,260,0,0,0,0,0,0,0,normal,0,106,107
1/4/2025 19:00,106,5,Saturday,1,1,0,random_or_none,0,sunny,0.133,260,0,0,0,0,0,0,0,normal,0,101,101
1/4/2025 20:00,101,5,Saturday,1,1,0,random_or_none,5,windy,0.639,260,0,0,0,0,0,0,0,normal,0,93,93
1/4/2025 21:00,93,5,Saturday,1,1,0,random_or_none,4,dusty,0.449,260,0,0,0,0,0,0,0,normal,0,82,90
1/4/2025 22:00,82,5,Saturday,1,1,0,random_or_none,0,sunny,0.035,260,0,0,0,0,0,0,0,normal,0,70,83
1/4/2025 23:00,70,5,Saturday,1,1,0,random_or_none,0,sunny,0.339,260,0,0,0,0,0,0,0,normal,0,60,70
1/5/2025 0:00,60,6,Sunday,1,1,0,random_or_none,5,windy,0.349,260,0,0,0,0,0,0,0,normal,0,57,76
1/5/2025 1:00,57,6,Sunday,1,1,0,random_or_none,2,cold,0.786,260,0,0,0,0,0,0,0,extreme_weather,2,55,74
1/5/2025 2:00,55,6,Sunday,1,1,0,random_or_none,1,rainy,0.983,260,0,0,0,0,0,0,0,extreme_weather,2,50,70
1/5/2025 3:00,50,6,Sunday,1,1,0,random_or_none,5,windy,0.366,260,0,0,0,0,0,0,0,normal,0,55,70
1/5/2025 4:00,55,6,Sunday,1,1,0,random_or_none,2,cold,1,260,0,0,0,0,0,0,0,extreme_weather,2,56,73
1/5/2025 5:00,56,6,Sunday,1,1,0,random_or_none,2,cold,0.27,260,0,0,0,0,0,0,0,normal,0,58,72
1/5/2025 6:00,58,6,Sunday,1,1,0,random_or_none,2,cold,0.56,260,0,0,0,0,0,0,0,normal,0,62,83
1/5/2025 7:00,62,6,Sunday,1,1,0,random_or_none,2,cold,0.715,260,0,0,0,0,0,0,0,normal,0,66,87
1/5/2025 8:00,66,6,Sunday,1,1,0,random_or_none,1,rainy,0.701,260,0,0,0,0,0,0,0,normal,0,72,94
1/5/2025 9:00,72,6,Sunday,1,1,0,random_or_none,0,sunny,0.163,260,0,0,0,0,0,0,0,normal,0,78,104
1/5/2025 10:00,78,6,Sunday,1,1,0,random_or_none,1,rainy,0.401,260,0,0,0,0,0,0,0,normal,0,95,106
1/5/2025 11:00,95,6,Sunday,1,1,0,random_or_none,5,windy,0.493,260,0,0,0,0,0,0,0,normal,0,97,112
1/5/2025 12:00,97,6,Sunday,1,1,0,random_or_none,3,hot,0.833,260,0,0,0,0,0,0,0,extreme_weather,2,103,119
1/5/2025 13:00,103,6,Sunday,1,1,0,random_or_none,2,cold,0.728,260,0,0,0,0,0,0,0,normal,0,111,124
1/5/2025 14:00,111,6,Sunday,1,1,0,random_or_none,2,cold,0.336,260,0,0,0,0,0,0,0,normal,0,109,123
1/5/2025 15:00,109,6,Sunday,1,1,0,random_or_none,5,windy,0.775,260,0,0,0,0,0,0,0,extreme_weather,2,108,123
1/5/2025 16:00,108,6,Sunday,1,1,0,random_or_none,5,windy,0.323,260,0,0,0,0,0,0,0,normal,0,111,128
1/5/2025 17:00,111,6,Sunday,1,1,0,random_or_none,2,cold,0.882,260,0,0,0,0,0,0,0,extreme_weather,2,107,122
1/5/2025 18:00,107,6,Sunday,1,1,0,random_or_none,2,cold,0.367,260,0,0,0,0,0,0,0,normal,0,101,165
1/5/2025 19:00,101,6,Sunday,1,1,0,random_or_none,2,cold,0.435,260,0,0,0,0,0,0,0,normal,0,93,145
1/5/2025 20:00,93,6,Sunday,1,1,0,random_or_none,2,cold,0.469,260,0,0,0,0,0,0,0,normal,0,90,130
1/5/2025 21:00,90,6,Sunday,1,1,0,random_or_none,2,cold,0.461,260,0,0,0,0,0,0,0,normal,0,83,200
1/5/2025 22:00,83,6,Sunday,1,1,0,random_or_none,4,dusty,0.421,260,0,0,0,0,0,0,0,normal,0,70,146
1/5/2025 23:00,70,6,Sunday,1,1,0,random_or_none,2,cold,0.799,260,0,0,0,0,0,0,0,extreme_weather,2,76,110
1/6/2025 0:00,76,0,Monday,1,0,0,random_or_none,1,rainy,0.645,260,0,0,0,0,0,0,0,normal,0,74,89
1/6/2025 1:00,74,0,Monday,1,0,0,random_or_none,2,cold,0.348,260,0,0,0,0,0,0,0,normal,0,70,83
1/6/2025 2:00,70,0,Monday,1,0,0,random_or_none,2,cold,0.582,260,0,0,0,0,0,0,0,normal,0,70,79
1/6/2025 3:00,70,0,Monday,1,0,0,random_or_none,1,rainy,1,260,0,0,0,0,0,0,0,extreme_weather,2,73,67
1/6/2025 4:00,73,0,Monday,1,0,0,random_or_none,1,rainy,0.778,260,0,0,0,0,0,0,0,extreme_weather,2,72,69
1/6/2025 5:00,72,0,Monday,1,0,0,random_or_none,2,cold,0.377,260,0,0,0,0,0,0,0,normal,0,83,80
1/6/2025 6:00,83,0,Monday,1,0,0,random_or_none,2,cold,0.661,260,0,0,0,0,0,0,0,normal,0,87,81
1/6/2025 7:00,87,0,Monday,1,0,0,random_or_none,1,rainy,0.779,260,0,0,0,0,0,0,0,extreme_weather,2,94,81
1/6/2025 8:00,94,0,Monday,1,0,0,random_or_none,1,rainy,0.959,260,0,0,0,0,0,0,0,extreme_weather,2,104,90
1/6/2025 9:00,104,0,Monday,1,0,0,random_or_none,2,cold,0.569,260,0,0,0,0,0,0,0,normal,0,106,94
1/6/2025 10:00,106,0,Monday,1,0,0,random_or_none,3,hot,0.444,260,0,0,0,0,0,0,0,normal,0,112,99
1/6/2025 11:00,112,0,Monday,1,0,0,random_or_none,2,cold,1,260,0,0,0,0,0,0,0,extreme_weather,2,119,104
1/6/2025 12:00,119,0,Monday,1,0,0,random_or_none,2,cold,0.455,260,0,0,0,0,0,0,0,normal,0,124,106
1/6/2025 13:00,124,0,Monday,1,0,0,random_or_none,3,hot,0.78,260,0,0,0,0,0,0,0,extreme_weather,2,123,114
1/6/2025 14:00,123,0,Monday,1,0,0,random_or_none,0,sunny,0.194,260,0,0,0,0,0,0,0,normal,0,123,120
1/6/2025 15:00,123,0,Monday,1,0,0,random_or_none,5,windy,0.741,260,0,0,0,0,0,0,0,normal,0,128,124
1/6/2025 16:00,128,0,Monday,1,0,0,random_or_none,2,cold,1,260,0,0,0,0,0,0,0,extreme_weather,2,122,126
1/6/2025 17:00,122,0,Monday,1,0,0,random_or_none,0,sunny,0.046,260,0,0,0,0,0,0,0,normal,0,165,130
1/6/2025 18:00,165,0,Monday,1,0,0,random_or_none,5,windy,0.592,260,0,1,87.34,0,0,0,0,emergency_spike,5,145,123
1/6/2025 19:00,145,0,Monday,1,0,0,random_or_none,2,cold,0.315,260,0,0,0,0,0,0,0,normal,0,130,122
1/6/2025 20:00,130,0,Monday,1,0,0,random_or_none,1,rainy,0.595,260,0,0,0,0,0,0,0,normal,0,200,111
1/6/2025 21:00,200,0,Monday,1,0,0,random_or_none,1,rainy,0.538,260,0,1,200.45,0,0,0,0,emergency_spike,5,146,106
1/6/2025 22:00,146,0,Monday,1,0,0,random_or_none,0,sunny,0.149,260,0,0,0,0,0,0,0,normal,0,110,93
1/6/2025 23:00,110,0,Monday,1,0,0,random_or_none,0,sunny,0.113,260,0,0,0,0,0,0,0,normal,0,89,89
1/7/2025 0:00,89,1,Tuesday,1,0,0,random_or_none,2,cold,0.756,260,0,0,0,0,0,0,0,extreme_weather,2,83,76
1/7/2025 1:00,83,1,Tuesday,1,0,0,random_or_none,2,cold,0.644,260,0,0,0,0,0,0,0,normal,0,79,77
1/7/2025 2:00,79,1,Tuesday,1,0,0,random_or_none,2,cold,0.823,260,0,0,0,0,0,0,0,extreme_weather,2,67,66
1/7/2025 3:00,67,1,Tuesday,1,0,0,random_or_none,0,sunny,0.145,260,0,0,0,0,0,0,0,normal,0,69,73
1/7/2025 4:00,69,1,Tuesday,1,0,0,random_or_none,2,cold,0.794,260,0,0,0,0,0,0,0,extreme_weather,2,80,70
1/7/2025 5:00,80,1,Tuesday,1,0,0,random_or_none,5,windy,0.506,260,0,0,0,0,0,0,0,normal,0,81,69
1/7/2025 6:00,81,1,Tuesday,1,0,0,random_or_none,2,cold,0.636,260,0,0,0,0,0,0,0,normal,0,81,69
1/7/2025 7:00,81,1,Tuesday,1,0,0,random_or_none,0,sunny,0.197,260,0,0,0,0,0,0,0,normal,0,90,75
1/7/2025 8:00,90,1,Tuesday,1,0,0,random_or_none,2,cold,0.996,260,0,0,0,0,0,0,0,extreme_weather,2,94,84
1/7/2025 9:00,94,1,Tuesday,1,0,0,random_or_none,2,cold,0.45,260,0,0,0,0,0,0,0,normal,0,99,91
1/7/2025 10:00,99,1,Tuesday,1,0,0,random_or_none,2,cold,0.689,260,0,0,0,0,0,0,0,normal,0,104,97
1/7/2025 11:00,104,1,Tuesday,1,0,0,random_or_none,2,cold,0.434,260,0,0,0,0,0,0,0,normal,0,106,101
1/7/2025 12:00,106,1,Tuesday,1,0,0,random_or_none,5,windy,0.616,260,0,0,0,0,0,0,0,normal,0,114,110
1/7/2025 13:00,114,1,Tuesday,1,0,0,random_or_none,1,rainy,0.759,260,0,0,0,0,0,0,0,extreme_weather,2,120,109
1/7/2025 14:00,120,1,Tuesday,1,0,0,random_or_none,5,windy,0.841,260,0,0,0,0,0,0,0,extreme_weather,2,124,119
1/7/2025 15:00,124,1,Tuesday,1,0,0,random_or_none,1,rainy,0.367,260,0,0,0,0,0,0,0,normal,0,126,125
1/7/2025 16:00,126,1,Tuesday,1,0,0,random_or_none,2,cold,0.654,260,0,0,0,0,0,0,0,normal,0,130,123
1/7/2025 17:00,130,1,Tuesday,1,0,0,random_or_none,2,cold,0.995,260,0,0,0,0,0,0,0,extreme_weather,2,123,117
1/7/2025 18:00,123,1,Tuesday,1,0,0,random_or_none,2,cold,0.773,260,0,0,0,0,0,0,0,extreme_weather,2,122,114
1/7/2025 19:00,122,1,Tuesday,1,0,0,random_or_none,1,rainy,0.564,260,0,0,0,0,0,0,0,normal,0,111,114
1/7/2025 20:00,111,1,Tuesday,1,0,0,random_or_none,2,cold,0.385,260,0,0,0,0,0,0,0,normal,0,106,113
1/7/2025 21:00,106,1,Tuesday,1,0,0,random_or_none,2,cold,0.947,260,0,0,0,0,0,0,0,extreme_weather,2,93,101
1/7/2025 22:00,93,1,Tuesday,1,0,0,random_or_none,0,sunny,0.269,260,0,0,0,0,0,0,0,normal,0,89,100
1/7/2025 23:00,89,1,Tuesday,1,0,0,random_or_none,1,rainy,0.564,260,0,0,0,0,0,0,0,normal,0,76,88
1/8/2025 0:00,76,2,Wednesday,1,0,0,random_or_none,2,cold,0.719,260,0,0,0,0,0,0,0,normal,0,77,80
1/8/2025 1:00,77,2,Wednesday,1,0,0,random_or_none,1,rainy,0.579,260,0,0,0,0,0,0,0,normal,0,66,75
1/8/2025 2:00,66,2,Wednesday,1,0,0,random_or_none,1,rainy,0.62,260,0,0,0,0,0,0,0,normal,0,73,73
1/8/2025 3:00,73,2,Wednesday,1,0,0,random_or_none,2,cold,0.98,260,0,0,0,0,0,0,0,extreme_weather,2,70,71
1/8/2025 4:00,70,2,Wednesday,1,0,0,random_or_none,2,cold,0.543,260,0,0,0,0,0,0,0,normal,0,69,72
1/8/2025 5:00,69,2,Wednesday,1,0,0,random_or_none,0,sunny,0.261,260,0,0,0,0,0,0,0,normal,0,69,88
1/8/2025 6:00,69,2,Wednesday,1,0,0,random_or_none,5,windy,0.207,260,0,0,0,0,0,0,0,normal,0,75,91
1/8/2025 7:00,75,2,Wednesday,1,0,0,random_or_none,5,windy,0.413,260,0,0,0,0,0,0,0,normal,0,84,85
1/8/2025 8:00,84,2,Wednesday,1,0,0,random_or_none,1,rainy,0.334,260,0,0,0,0,0,0,0,normal,0,91,151
1/8/2025 9:00,91,2,Wednesday,1,0,0,random_or_none,5,windy,0.207,260,0,0,0,0,0,0,0,normal,0,97,122
1/8/2025 10:00,97,2,Wednesday,1,0,0,random_or_none,1,rainy,0.656,260,0,0,0,0,0,0,0,normal,0,101,119
1/8/2025 11:00,101,2,Wednesday,1,0,0,random_or_none,1,rainy,1,260,0,0,0,0,0,0,0,extreme_weather,2,110,123
1/8/2025 12:00,110,2,Wednesday,1,0,0,random_or_none,2,cold,0.6,260,0,0,0,0,0,0,0,normal,0,109,116
1/8/2025 13:00,109,2,Wednesday,1,0,0,random_or_none,2,cold,0.325,260,0,0,0,0,0,0,0,normal,0,119,114
1/8/2025 14:00,119,2,Wednesday,1,0,0,random_or_none,2,cold,0.512,260,0,0,0,0,0,0,0,normal,0,125,119
1/8/2025 15:00,125,2,Wednesday,1,0,0,random_or_none,2,cold,0.778,260,0,0,0,0,0,0,0,extreme_weather,2,123,125
1/8/2025 16:00,123,2,Wednesday,1,0,0,random_or_none,2,cold,0.968,260,0,0,0,0,0,0,0,extreme_weather,2,117,125
1/8/2025 17:00,117,2,Wednesday,1,0,0,random_or_none,0,sunny,0.158,260,0,0,0,0,0,0,0,normal,0,114,122
1/8/2025 18:00,114,2,Wednesday,1,0,0,random_or_none,0,sunny,0.344,260,0,0,0,0,0,0,0,normal,0,114,119
1/8/2025 19:00,114,2,Wednesday,1,0,0,random_or_none,5,windy,0.893,260,0,0,0,0,0,0,0,extreme_weather,2,113,120
1/8/2025 20:00,113,2,Wednesday,1,0,0,random_or_none,1,rainy,0.629,260,0,0,0,0,0,0,0,normal,0,101,114
1/8/2025 21:00,101,2,Wednesday,1,0,0,random_or_none,2,cold,0.723,260,0,0,0,0,0,0,0,normal,0,100,105
1/8/2025 22:00,100,2,Wednesday,1,0,0,random_or_none,1,rainy,0.547,260,0,0,0,0,0,0,0,normal,0,88,100
1/8/2025 23:00,88,2,Wednesday,1,0,0,random_or_none,2,cold,0.361,260,0,0,0,0,0,0,0,normal,0,80,95
1/9/2025 0:00,80,3,Thursday,1,0,0,random_or_none,2,cold,0.791,260,0,0,0,0,0,0,0,extreme_weather,2,75,87
1/9/2025 1:00,75,3,Thursday,1,0,0,random_or_none,1,rainy,0.764,260,0,0,0,0,0,0,0,extreme_weather,2,73,79
1/9/2025 2:00,73,3,Thursday,1,0,0,random_or_none,5,windy,0.86,260,0,0,0,0,0,0,0,extreme_weather,2,71,76
1/9/2025 3:00,71,3,Thursday,1,0,0,random_or_none,1,rainy,0.61,260,0,0,0,0,0,0,0,normal,0,72,69
1/9/2025 4:00,72,3,Thursday,1,0,0,random_or_none,0,sunny,0.12,260,0,0,0,0,0,0,0,normal,0,88,71
1/9/2025 5:00,88,3,Thursday,1,0,0,random_or_none,2,cold,0.54,260,0,0,0,0,0,0,0,normal,0,91,79
1/9/2025 6:00,91,3,Thursday,1,0,0,random_or_none,1,rainy,0.87,260,0,0,0,0,0,0,0,extreme_weather,2,85,76
1/9/2025 7:00,85,3,Thursday,1,0,0,random_or_none,1,rainy,0.351,260,0,0,0,0,0,0,0,normal,0,151,72
1/9/2025 8:00,151,3,Thursday,1,0,0,random_or_none,1,rainy,1,260,0,1,134.12,0,0,0,0,emergency_spike,5,122,81
1/9/2025 9:00,122,3,Thursday,1,0,0,random_or_none,1,rainy,0.919,260,0,0,0,0,0,0,0,extreme_weather,2,119,83
