datetime,patients,day_of_week,day_of_week_name,month,is_weekend,holiday,holiday_name,weather,weather_type,weather_severity,hospital capacity,is_capped,is_emergency,emergency_spike,is_outbreak,outbreak_intensity,is_staff_shortage,staff_shortage_impact,scenario_primary,scenario_code,y_patients_t_plus_1,y_patients_t_plus_24,hour,season,week_of_year,shift_period,is_holiday,is_holiday_or_event,event_flag,arrivals,admissions,discharges,transfers,emergency_arrivals,elective_arrivals,waiting_patients,avg_wait_time_minutes,occupancy_rate,bed_occupancy,occupied_beds,available_beds,available_doctors,available_nurses,staff_on_duty,doctor_shortage,nurse_shortage,bed_shortage,appointments_count,or_bookings_count,delayed_discharge_count,department_pressure_score,er_pressure_score,doctors_available,nurses_available,lag_1,lag_24,roll_mean_3,roll_mean_6,roll_mean_24,predicted_patients_next_hour,week_number,shift_period_code
2024-01-01 10:00:00,203,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,1,1,16,1,2,0,0,Emergency Surge,1,210,211,10,0,1,Morning,1,1,1,45,19,17,2,17,28,12,61,0.92,0.92,201,17,42,96,138,0,0,197,21,4,1,79.65,89.21,42,96,201.0,0.0,180.33333333333334,157.83333333333334,143.9,210,1,1
2024-01-01 11:00:00,210,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,1,1,17,1,2,0,0,Emergency Surge,1,207,202,11,0,1,Morning,1,1,1,48,21,19,2,18,30,16,72,0.92,0.92,201,17,42,96,138,0,0,204,22,5,1,86.3,96.66,42,96,203.0,0.0,196.66666666666666,171.16666666666666,149.27272727272728,207,1,1
2024-01-01 12:00:00,207,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,1,1,14,1,2,0,0,Emergency Surge,1,185,207,12,0,1,Morning,1,1,1,46,20,24,2,17,29,16,72,0.92,0.92,201,17,42,96,138,0,0,201,17,5,1,85.05,95.26,42,96,210.0,0.0,204.66666666666666,184.66666666666666,154.33333333333334,185,1,1
2024-01-01 13:00:00,185,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,1,1,2,0,0,Outbreak Watch,3,191,192,13,0,1,Morning,1,1,1,33,14,19,1,13,20,9,47,0.849,0.849,185,33,42,96,138,0,0,162,17,5,1,69.57,77.92,42,96,207.0,0.0,206.66666666666666,193.5,158.3846153846154,191,1,1
2024-01-01 14:00:00,191,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,1,1,1,2,0,0,Emergency Surge,1,180,176,14,0,1,Morning,1,1,1,33,14,19,1,13,20,9,49,0.876,0.876,191,27,42,96,138,0,0,174,22,4,1,72.47,81.17,42,96,185.0,0.0,200.66666666666666,198.66666666666666,160.28571428571428,180,1,1
2024-01-01 15:00:00,180,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,1,1,2,0,0,Outbreak Watch,3,182,188,15,0,1,Evening,1,1,1,33,14,18,1,13,20,6,37,0.826,0.826,180,38,42,96,138,0,0,151,16,5,0,63.14,70.72,42,96,191.0,0.0,194.33333333333334,199.5,162.33333333333334,182,1,2
2024-01-01 16:00:00,182,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,172,192,16,0,1,Evening,1,1,1,32,14,27,1,12,20,9,46,0.835,0.835,182,36,42,96,138,0,0,156,19,1,2,69.24,77.55,42,96,180.0,0.0,185.33333333333334,196.0,163.4375,172,1,2
2024-01-01 17:00:00,172,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,172,172,17,0,1,Evening,1,1,1,29,12,29,1,11,18,5,32,0.789,0.789,172,46,42,96,138,0,0,135,4,5,1,56.34,63.1,42,96,182.0,0.0,184.33333333333334,192.5,164.52941176470588,172,1,2
2024-01-01 18:00:00,172,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,1,1,2,0,0,Outbreak Watch,3,173,176,18,0,1,Evening,1,1,1,33,14,26,1,16,17,6,35,0.789,0.789,172,46,42,96,138,0,0,135,0,0,1,56.94,63.77,42,96,172.0,0.0,178.0,186.16666666666666,164.94444444444446,173,1,2
2024-01-01 19:00:00,173,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,2,1,2,0,0,Outbreak Watch,3,167,171,19,0,1,Evening,1,1,1,34,15,28,1,16,18,6,35,0.794,0.794,173,45,42,96,138,0,0,137,6,2,1,58.71,65.76,42,96,172.0,0.0,175.33333333333334,180.33333333333334,165.31578947368422,167,1,2
2024-01-01 20:00:00,167,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,2,1,2,0,0,Outbreak Watch,3,154,172,20,0,1,Evening,1,1,1,34,15,29,1,16,18,6,35,0.766,0.766,167,51,42,96,138,0,0,125,5,1,1,56.81,63.63,42,96,173.0,0.0,172.33333333333334,178.33333333333334,165.7,154,1,2
2024-01-01 21:00:00,154,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,165,162,21,0,1,Evening,1,1,1,27,12,13,1,13,14,3,26,0.706,0.706,154,64,42,96,138,0,0,98,5,1,0,48.44,54.25,42,96,167.0,0.0,170.66666666666666,174.33333333333334,165.76190476190476,165,1,2
2024-01-01 22:00:00,165,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,161,155,22,0,1,Evening,1,1,1,32,14,20,1,15,17,4,29,0.757,0.757,165,53,42,96,138,0,0,121,2,1,0,52.31,58.59,42,96,154.0,0.0,164.66666666666666,170.0,165.22727272727272,161,1,2
2024-01-01 23:00:00,161,0,Monday,1,0,1,Hospital calendar event,2,Cold/Flu Season,2,218,0,0,0,1,2,0,0,Outbreak Watch,3,128,155,23,0,1,Night,1,1,1,25,11,16,1,12,13,4,29,0.739,0.739,161,57,36,82,118,0,0,113,6,1,0,52.21,58.48,36,82,165.0,0.0,162.0,167.16666666666666,165.2173913043478,128,1,0
2024-01-02 00:00:00,120,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,122,116,0,0,5,Night,0,0,0,18,8,14,1,7,11,2,24,0.58,0.58,126,92,36,82,118,0,0,34,0,0,0,38.0,42.56,36,82,161.0,128.0,160.0,165.33333333333334,165.04166666666666,122,1,0
2024-01-02 01:00:00,122,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,117,116,1,0,5,Night,0,0,0,19,8,14,1,7,12,2,24,0.58,0.58,126,92,36,82,118,0,0,37,6,1,0,39.5,44.24,36,82,120.0,121.0,148.66666666666666,156.66666666666666,164.70833333333334,117,1,0
2024-01-02 02:00:00,117,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,121,113,2,0,5,Night,0,0,0,25,11,12,1,10,15,6,35,0.58,0.58,126,92,36,82,118,0,0,31,1,2,0,44.65,50.01,36,82,122.0,122.0,134.33333333333334,148.16666666666666,164.75,121,1,0
2024-01-02 03:00:00,121,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,123,117,3,0,5,Night,0,0,0,23,10,12,1,9,14,3,26,0.58,0.58,126,92,36,82,118,0,0,36,4,3,0,40.6,45.47,36,82,117.0,121.0,119.66666666666667,139.83333333333334,164.54166666666666,123,1,0
2024-01-02 04:00:00,123,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,120,115,4,0,5,Night,0,0,0,22,9,12,1,8,14,4,29,0.58,0.58,126,92,36,82,118,0,0,38,3,2,0,41.95,46.98,36,82,121.0,123.0,120.0,134.33333333333334,164.54166666666666,120,1,0
2024-01-02 05:00:00,120,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,147,107,5,0,5,Night,0,0,0,22,9,9,1,8,14,3,26,0.58,0.58,126,92,36,82,118,0,0,34,1,0,0,39.85,44.63,36,82,123.0,129.0,120.33333333333333,127.33333333333333,164.54166666666666,147,1,0
2024-01-02 06:00:00,147,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,143,141,6,0,5,Night,0,0,0,28,12,15,1,11,17,5,32,0.674,0.674,147,71,36,82,118,0,0,84,6,0,0,49.96,55.96,36,82,120.0,154.0,121.33333333333333,120.5,164.16666666666666,143,1,0
2024-01-02 07:00:00,143,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,182,140,7,0,5,Morning,0,0,0,22,9,14,1,8,14,2,24,0.656,0.656,143,75,42,96,138,0,0,76,2,6,0,43.06,48.23,42,96,147.0,154.0,130.0,125.0,163.875,182,1,1
2024-01-02 08:00:00,182,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,11,0,1,0,0,Normal Operations,0,189,173,8,0,5,Morning,0,0,0,42,18,21,1,16,26,9,46,0.835,0.835,182,36,42,96,138,0,0,156,19,3,1,69.24,77.55,42,96,143.0,186.0,136.66666666666666,128.5,163.41666666666666,189,1,1
2024-01-02 09:00:00,189,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,1,12,0,1,0,0,Emergency Surge,1,196,190,9,0,5,Morning,0,0,0,42,18,20,1,16,26,11,54,0.867,0.867,189,29,42,96,138,0,0,170,21,2,1,74.87,83.85,42,96,182.0,201.0,157.33333333333334,139.33333333333334,163.25,196,1,1
2024-01-02 10:00:00,196,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,1,15,0,1,0,0,Emergency Surge,1,186,193,10,0,5,Morning,0,0,0,45,19,21,2,17,28,14,65,0.899,0.899,196,22,42,96,138,0,0,184,23,4,1,82.09,91.94,42,96,189.0,203.0,171.33333333333334,150.66666666666666,162.75,186,1,1
2024-01-02 11:00:00,186,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,1,17,0,1,0,0,Emergency Surge,1,197,184,11,0,5,Morning,0,0,0,47,20,20,2,18,29,12,56,0.853,0.853,186,32,42,96,138,0,0,164,22,4,1,75.89,85.0,42,96,196.0,210.0,189.0,162.83333333333334,162.45833333333334,197,1,1
2024-01-02 12:00:00,197,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,1,1,14,0,1,0,0,Emergency Surge,1,170,195,12,0,5,Morning,0,0,0,44,19,21,2,17,27,14,65,0.904,0.904,197,21,42,96,138,0,0,186,20,4,1,81.62,91.41,42,96,186.0,207.0,190.33333333333334,173.83333333333334,161.45833333333334,170,1,1
2024-01-02 13:00:00,170,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,3,0,1,0,0,Normal Operations,0,175,173,13,0,5,Morning,0,0,0,33,14,15,1,13,20,7,38,0.78,0.78,170,48,42,96,138,0,0,131,18,4,1,62.49,69.99,42,96,197.0,185.0,193.0,182.16666666666666,161.04166666666666,175,1,1
2024-01-02 14:00:00,175,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,170,174,14,0,5,Morning,0,0,0,30,13,16,1,11,19,7,38,0.803,0.803,175,43,42,96,138,0,0,141,26,4,1,65.87,73.77,42,96,170.0,191.0,184.33333333333334,186.66666666666666,160.41666666666666,170,1,1
2024-01-02 15:00:00,170,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,1,0,1,0,0,Normal Operations,0,168,169,15,0,5,Evening,0,0,0,31,13,17,1,12,19,4,29,0.78,0.78,170,48,42,96,138,0,0,131,21,2,0,58.44,65.45,42,96,175.0,180.0,180.66666666666666,185.5,159.75,168,1,2
2024-01-02 16:00:00,168,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,169,176,16,0,5,Evening,0,0,0,30,13,30,1,11,19,4,29,0.771,0.771,168,50,42,96,138,0,0,127,18,4,1,57.14,64.0,42,96,170.0,182.0,171.66666666666666,182.33333333333334,159.33333333333334,169,1,2
2024-01-02 17:00:00,169,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,165,161,17,0,5,Evening,0,0,0,25,11,30,1,10,15,4,29,0.775,0.775,169,49,42,96,138,0,0,129,2,3,1,53.41,59.82,42,96,168.0,172.0,171.0,177.66666666666666,158.75,165,1,2
2024-01-02 18:00:00,165,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,163,161,18,0,5,Evening,0,0,0,29,12,24,1,14,15,4,29,0.757,0.757,165,53,42,96,138,0,0,121,6,1,1,53.31,59.71,42,96,169.0,172.0,169.0,174.83333333333334,158.625,163,1,2
2024-01-02 19:00:00,163,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,160,157,19,0,5,Evening,0,0,0,27,12,27,1,13,14,5,32,0.748,0.748,163,55,42,96,138,0,0,117,3,0,1,53.61,60.04,42,96,165.0,173.0,167.33333333333334,169.5,158.33333333333334,160,1,2
2024-01-02 20:00:00,160,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,151,162,20,0,5,Evening,0,0,0,30,13,29,1,14,16,6,35,0.734,0.734,160,58,42,96,138,0,0,110,3,2,1,54.39,60.92,42,96,163.0,167.0,165.66666666666666,168.33333333333334,157.91666666666666,151,1,2
2024-01-02 21:00:00,151,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,2,0,1,0,0,Normal Operations,0,145,143,21,0,5,Evening,0,0,0,32,14,16,1,15,17,6,35,0.693,0.693,151,67,42,96,138,0,0,92,4,0,0,52.16,58.42,42,96,160.0,154.0,162.66666666666666,165.83333333333334,157.625,145,1,2
2024-01-02 22:00:00,145,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,147,138,22,0,5,Evening,0,0,0,26,11,15,1,12,14,4,29,0.665,0.665,145,73,42,96,138,0,0,80,2,1,0,46.81,52.43,42,96,151.0,165.0,158.0,162.66666666666666,157.5,147,1,2
2024-01-02 23:00:00,147,1,Thursday,1,0,0,No Holiday,2,Cold/Flu Season,1,218,0,0,0,0,1,0,0,Normal Operations,0,116,143,23,0,5,Night,0,0,0,25,11,14,1,12,13,6,35,0.674,0.674,147,71,36,82,118,0,0,84,7,1,0,51.81,58.03,36,82,145.0,161.0,152.0,158.83333333333334,156.66666666666666,116,1,0
2024-01-03 00:00:00,88,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,93,70,0,0,9,Night,0,0,0,16,7,8,1,6,10,3,26,0.58,0.58,126,92,36,82,118,0,0,1,7,1,0,41.35,46.31,36,82,147.0,120.0,147.66666666666666,155.16666666666666,156.08333333333334,93,1,0
2024-01-03 01:00:00,93,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,100,78,1,0,9,Night,0,0,0,16,7,8,1,6,10,5,32,0.58,0.58,126,92,36,82,118,0,0,6,5,1,0,44.05,49.34,36,82,88.0,122.0,126.66666666666667,142.33333333333334,154.75,100,1,0
2024-01-03 02:00:00,100,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,98,92,2,0,9,Night,0,0,0,20,9,10,1,8,12,4,29,0.58,0.58,126,92,36,82,118,0,0,13,5,2,0,42.45,47.54,36,82,93.0,117.0,109.33333333333333,130.66666666666666,153.54166666666666,98,1,0
2024-01-03 03:00:00,98,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,96,80,3,0,9,Night,0,0,0,21,9,11,1,8,13,3,26,0.58,0.58,126,92,36,82,118,0,0,11,3,2,0,40.35,45.19,36,82,100.0,121.0,93.66666666666667,120.66666666666667,152.83333333333334,96,1,0
2024-01-03 04:00:00,96,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,99,71,4,0,9,Night,0,0,0,15,6,13,0,6,9,3,26,0.58,0.58,126,92,36,82,118,0,0,9,4,2,0,40.6,45.47,36,82,98.0,123.0,97.0,111.83333333333333,151.875,99,1,0
2024-01-03 05:00:00,99,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,123,68,5,0,9,Night,0,0,0,21,9,9,1,8,13,4,29,0.58,0.58,126,92,36,82,118,0,0,12,6,2,0,42.7,47.82,36,82,96.0,120.0,98.0,103.66666666666667,150.75,123,1,0
2024-01-03 06:00:00,123,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,120,99,6,0,9,Night,0,0,0,22,9,14,1,8,14,5,32,0.58,0.58,126,92,36,82,118,0,0,38,7,0,0,44.55,49.9,36,82,99.0,147.0,97.66666666666667,95.66666666666667,149.875,120,1,0
2024-01-03 07:00:00,120,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,154,100,7,0,9,Morning,0,0,0,22,9,12,1,8,14,3,26,0.58,0.58,126,92,42,96,138,0,0,34,7,2,0,41.35,46.31,42,96,123.0,143.0,106.0,101.5,148.875,154,1,1
2024-01-03 08:00:00,154,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,7,0,0,0,0,Normal Operations,0,156,123,8,0,9,Morning,0,0,0,36,15,14,1,14,22,6,35,0.706,0.706,154,64,42,96,138,0,0,98,19,4,0,56.74,63.55,42,96,120.0,182.0,114.0,106.0,147.91666666666666,156,1,1
2024-01-03 09:00:00,156,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,6,0,0,0,0,Normal Operations,0,165,127,9,0,9,Morning,0,0,0,35,15,15,1,13,22,5,32,0.716,0.716,156,62,42,96,138,0,0,102,23,5,0,56.69,63.49,42,96,154.0,189.0,132.33333333333334,115.0,146.75,165,1,1
2024-01-03 10:00:00,165,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,10,0,0,0,0,Normal Operations,0,169,132,10,0,9,Morning,0,0,0,39,17,14,1,15,24,8,40,0.757,0.757,165,53,42,96,138,0,0,121,23,5,1,63.96,71.64,42,96,156.0,196.0,143.33333333333334,124.66666666666667,145.375,169,1,1
2024-01-03 11:00:00,169,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,8,0,0,0,0,Normal Operations,0,163,132,11,0,9,Morning,0,0,0,37,16,16,1,14,23,7,38,0.775,0.775,169,49,42,96,138,0,0,129,22,3,1,63.21,70.8,42,96,165.0,186.0,158.33333333333334,136.16666666666666,144.08333333333334,163,1,1
2024-01-03 12:00:00,163,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,14,0,0,0,0,Normal Operations,0,145,133,12,0,9,Morning,0,0,0,42,18,17,1,16,26,7,38,0.748,0.748,163,55,42,96,138,0,0,117,22,3,1,61.56,68.95,42,96,169.0,197.0,163.33333333333334,147.83333333333334,143.375,145,1,1
2024-01-03 13:00:00,145,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,142,119,13,0,9,Morning,0,0,0,24,10,11,1,9,15,6,35,0.665,0.665,145,73,42,96,138,0,0,80,17,5,0,53.76,60.21,42,96,163.0,170.0,165.66666666666666,154.5,141.95833333333334,142,1,1
2024-01-03 14:00:00,142,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,146,120,14,0,9,Morning,0,0,0,26,11,12,1,10,16,6,35,0.651,0.651,142,76,42,96,138,0,0,74,20,4,0,53.68,60.12,42,96,145.0,175.0,159.0,158.66666666666666,140.91666666666666,146,1,1
2024-01-03 15:00:00,146,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,152,117,15,0,9,Evening,0,0,0,24,10,17,1,9,15,4,29,0.67,0.67,146,72,42,96,138,0,0,82,22,6,0,52.08,58.33,42,96,142.0,170.0,150.0,156.66666666666666,139.54166666666666,152,1,2
2024-01-03 16:00:00,152,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,138,119,16,0,9,Evening,0,0,0,25,11,26,1,10,15,3,26,0.697,0.697,152,66,42,96,138,0,0,94,18,4,1,51.13,57.27,42,96,146.0,168.0,144.33333333333334,155.0,138.54166666666666,138,1,2
2024-01-03 17:00:00,138,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,140,108,17,0,9,Evening,0,0,0,22,9,21,1,8,14,3,26,0.633,0.633,138,80,42,96,138,0,0,65,7,4,1,44.53,49.87,42,96,152.0,169.0,146.66666666666666,152.83333333333334,137.875,140,1,2
2024-01-03 18:00:00,140,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,136,108,18,0,9,Evening,0,0,0,21,9,20,1,10,11,3,26,0.642,0.642,140,78,42,96,138,0,0,69,8,2,1,45.33,50.77,42,96,138.0,165.0,145.33333333333334,147.66666666666666,136.58333333333334,136,1,2
2024-01-03 19:00:00,136,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,136,109,19,0,9,Evening,0,0,0,22,9,19,1,11,11,5,32,0.624,0.624,136,82,42,96,138,0,0,61,1,0,1,45.68,51.16,42,96,140.0,163.0,143.33333333333334,143.83333333333334,135.54166666666666,136,1,2
2024-01-03 20:00:00,136,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,127,109,20,0,9,Evening,0,0,0,22,9,25,1,11,11,2,24,0.624,0.624,136,82,42,96,138,0,0,61,5,3,0,41.88,46.91,42,96,136.0,160.0,138.0,142.33333333333334,134.41666666666666,127,1,2
2024-01-03 21:00:00,127,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,128,98,21,0,9,Evening,0,0,0,21,9,11,1,10,11,4,29,0.583,0.583,127,91,42,96,138,0,0,43,1,0,0,41.6,46.59,42,96,136.0,151.0,137.33333333333334,141.33333333333334,133.41666666666666,128,1,2
2024-01-03 22:00:00,128,2,Friday,1,0,0,No Holiday,0,Normal,0,218,0,0,0,0,0,0,0,Normal Operations,0,124,96,22,0,9,Evening,0,0,0,22,9,11,1,11,11,2,24,0.587,0.587,128,90,42,96,138,0,0,45,4,2,0,39.43,44.16,42,96,127.0,145.0,133.0,138.16666666666666,132.41666666666666,124,1,2
